Movie,Rating,Genre,Genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Empire Strikes Back,8.8,Action,Exciting,Stylized,Suspenseful,master_villain,heroic_mission,space_travel,space_wars,good_versus_evil,Danger,Escapades,Heroes,Partners,Rivalry,Space_and_aliens,SCI-FI,ACTION,ADVENTURE,FANTASY,Future,Outer_space,award_winner,blockbuster,critically_acclaimed,Modern_classic,oscar_winner,Prestigious_Awards,Epic,Saga,Hollywood_Tone,Semi_Serious,Fantastic,Orchestral,Special_effects,Mild_Violent_Content,,,,,,,,,,,,,,,,
Goodfellas,8.7,Drama,Rough,Stylized,Captivating,buddies,gangsters,blind_ambition,drug_dealing,rise_and_fall,criminal_heroes,Ambition,Crimes,Couples,Friends,investigation,couple_relations,friendship,drug_abuse,Law_enforcement,Partners,Unfulfillment,Life_is_a_bitch,CRIME,biography,DRAMA,PERIOD,20th_century,50s,60s,70s,New_York,USA,award_winner,critically_acclaimed,Essential,Modern_classic,oscar_winner,Prestigious_Awards,Epic,Voice_over,based_on_true_story,Serious,Realistic,Oldies,Drugs/Alcohol,Profanity,Sexual_Content,Strong_Violent_Content,,,
Raiders of the lost Ark,8.6,Action,Exciting,Humorous,adventurer,master_villain,treasure_hunt,heroic_mission,good_versus_evil,Escapades,Heroes,Rivalry,ADVENTURE,ACTION,20th_century,30s,award_winner,blockbuster,critically_acclaimed,Modern_classic,oscar_winner,Prestigious_Awards,Hollywood_Tone,Semi_Serious,Semi_fantastic,Fast,Special_effects,Mild_Violent_Content,,,,,,,,,,,,,,,,,,,,,,,,
Back to the Future,8.5,Comedy,Humorous,Exciting,Sentimental,Clever,Feel_Good,misfit_partners,odd_couple,changing_the_past_or_future,race_against_time,teenage_life,time_travel,Chases_and_races,Hopes,Imaginary,Partners,Youth,Disorder,fish_out_of_water,hidden_identity,mad_scientist,getting_home,teenage_love,destiny,Inventions_and_Discoveries,Escapades,Love_and_romance,Misfit,COMEDY,ADVENTURE,FANTASY,SCI-FI,20th_century,50s,80s,California,Small_town,High_school,award_winner,blockbuster,critically_acclaimed,Modern_classic,Prestigious_Awards,Original,oscar_winner,Hollywood_Tone,Not_Serious,Fantastic,Fast,Mild_Violent_Content,
The Shining,8.5,Thriller,Atmospheric,Bleak,Scary,Tense,ghost,losing-it_hero,isolation,Confined,Danger,Mind_and_soul,Unfulfillment,Family_problems,Supernatural,domestic_disturbance,family_in_danger,psychological,HORROR,20th_century,70s,Colorado,USA,Hotel,Indoors,critically_acclaimed,Essential,masterpiece,Modern_classic,surreal,based_on_book,Serious,Semi_fantastic,Strong_Violent_Content,,,,,,,,,,,,,,,,,,
Aliens,8.4,Thriller,Rough,Suspenseful,Exciting,Bleak,Scary,deadly_creature,Evil_Alien,survival,space_travel,Danger,Deadly,Escapades,Space_and_aliens,Supernatural,ACTION,SCI-FI,HORROR,THRILLER,Future,Outer_space,Distant_Planet,award_winner,blockbuster,critically_acclaimed,Essential,Modern_classic,oscar_winner,Prestigious_Awards,Ensemble_cast,Hollywood_Tone,Strong_Female_Presence,Serious,Fantastic,Fast,Special_effects,Strong_Violent_Content,,,,,,,,,,,,,,
Once upon a time in America,8.4,Drama,Atmospheric,Rough,Captivating,Contemplative,buddies,gangsters,rise_and_fall,friendship,criminal_heroes,Ambition,Crimes,Friends,haunted_by_the_past,Mind_and_soul,Unfulfillment,CRIME,DRAMA,PERIOD,20s,30s,60s,20th_century,New_York,USA,award_winner,critically_acclaimed,masterpiece,Modern_classic,Ensemble_cast,Epic,Nonlinear,Saga,gory,based_on_book,Serious,Realistic,Drugs/Alcohol,Nudity,Profanity,Strong_Violent_Content,,,,,,,,,,
Return of the Jedi,8.4,Action,Exciting,Stylized,Suspenseful,master_villain,save_the_world,heroic_mission,space_wars,good_versus_evil,Danger,Escapades,Heroes,Hopes,Rivalry,Space_and_aliens,daring_rescue,redemption,Power_relations,SCI-FI,ACTION,ADVENTURE,FANTASY,Future,Outer_space,award_winner,blockbuster,critically_acclaimed,Modern_classic,Prestigious_Awards,Epic,Saga,Hollywood_Tone,Semi_Serious,Fantastic,Orchestral,Special_effects,Mild_Violent_Content,,,,,,,,,,,,,,
Talking Heads Stop Making Sense,8.4,Drama,music_band,musician's_life,performer's_life,Way_of_Life,Artists_and_showbiz,MUSIC,Documentary,Music_Concert,80s,California,USA,Los_Angeles,critically_acclaimed,Serious,Realistic,Punk,Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadeus,8.4,Drama,Stylized,Captivating,Witty,mentally_unstable,musician's_life,prodigy,blind_ambition,desire_for_fame,rise_and_fall,uninhibited_rivalry,Ambition,Mind_and_soul,Rivalry,Unfulfillment,Artists_and_showbiz,downfall,introspection,obsession,celebrity_culture,Way_of_Life,DRAMA,PERIOD,independent,MUSIC,biography,18th_century,Austria,Europe,Royal_court,award_winner,critically_acclaimed,oscar_winner,Modern_classic,Prestigious_Awards,based_on_play,based_on_true_story,Serious,Realistic,classical,,,,,,,,,,,
Full Metal Jacket,8.4,Drama,Rough,Witty,Contemplative,Disturbing,Biting,Bleak,soldier,anti_war,chaos_and_mayhem,military_life,Battles,Military,Mind_and_soul,Chaos,innocence_lost,Officers_and_Cadets,basic_training,Power_relations,DRAMA,WAR,20th_century,60s,Vietnam_War,Asia,Vietnam,Battle_Zone,Military_base,award_winner,critically_acclaimed,Essential,Modern_classic,Episodic,Voice_over,gory,based_on_book,Serious,Realistic,Profanity,Strong_Violent_Content,,,,,,,,,,,
Lion of the Desert,8.3,Drama,Exciting,anti_heroes,master_warrior,soldier,daring_rescue,leadership,save_the_world,survival,vengeance,anti_war,heroic_mission,military_life,revolution,Battles,Danger,Escapades,Heroes,Military,Rivalry,State_affairs,village_life,against_the_odds,Against_humanity,Hopes,Rebellion,Space_and_aliens,PERIOD,WAR,HISTORICAL,ACTION,ADVENTURE,DRAMA,20s,30s,World_War_2,20th_century,Desert,Village,Epic,Serious,Semi_fantastic,,,,,,,,,
Indiana Jones and the Last Crusade,8.3,Action,Exciting,Humorous,adventurer,master_villain,daring_rescue,treasure_hunt,heroic_mission,good_versus_evil,Danger,Escapades,Heroes,Rivalry,ADVENTURE,ACTION,1910s,30s,20th_century,award_winner,blockbuster,critically_acclaimed,Modern_classic,oscar_winner,Prestigious_Awards,Hollywood_Tone,Semi_Serious,Semi_fantastic,Fast,Special_effects,Mild_Violent_Content,,,,,,,,,,,,,,,,,,,,,
Scarface,8.3,Drama,Rough,Captivating,Stylized,Suspenseful,Exciting,gangsters,blind_ambition,drug_dealing,rise_and_fall,rise_to_the_top,criminal_heroes,Ambition,Crimes,drug_abuse,Life_is_a_bitch,CRIME,20th_century,80s,Miami,USA,Urban,critically_acclaimed,cult,Modern_classic,Epic,Saga,gory,remake,Serious,Realistic,Drugs/Alcohol,Nudity,Profanity,Strong_Violent_Content,,,,,,,,,,,,,,,,
Raging Bull,8.3,Drama,Atmospheric,Gloomy,Rough,Stylized,Captivating,Tense,Disturbing,athlete's_life,contests_and_competitions,rise_and_fall,redemption,siblings_relations,Ambition,Mind_and_soul,Rivalry,Unfulfillment,Family_relations,Power_relations,follow_your_dream,psychological,Hopes,Way_of_Life,Couples,Family_problems,DRAMA,SPORT,PERIOD,20th_century,40s,50s,60s,New_York,USA,award_winner,critically_acclaimed,masterpiece,oscar_winner,Modern_classic,Prestigious_Awards,based_on_book,based_on_true_story,Serious,Realistic,B&W,Violent_Content,,,,,
Die Hard,8.3,Action,Rough,Exciting,Clever,Suspenseful,master_criminal,one_man_army,tough_law_enforcer,save_the_day,heist,Confined,Crimes,Danger,Deadly,Heroes,Rivalry,hostages,race_against_time,rescue,Chases_and_races,Law_enforcement,ACTION,THRILLER,20th_century,80s,Los_Angeles,USA,Skyscraper,award_winner,blockbuster,critically_acclaimed,Essential,Modern_classic,Hollywood_Tone,based_on_book,Serious,Realistic,Fast,Profanity,Violent_Content,,,,,,,,,,,
Buddies,8.2,Drama,Sincere,Touching,Emotional,gays_and_lesbians,terminal_illness,Gender,Life_is_a_bitch,Unfulfillment,politics,buddies,friendship,Friends,Society,Couples,DRAMA,independent,80s,Serious,Realistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Elephant Man,8.2,Drama,Emotional,Gloomy,Captivating,Touching,Atmospheric,Bleak,Stylized,Disturbing,social_misfits,Physical_Appearance,Mind_and_soul,Misfit,Society,Power_relations,Life_is_a_bitch,human_nature,doctors_and_patients,Disability,psychological,Hopes,DRAMA,PERIOD,biography,19th_century,Victorian,England,Europe,London,award_winner,critically_acclaimed,Essential,Modern_classic,Prestigious_Awards,surreal,Experimental,based_on_book,based_on_true_story,Serious,Realistic,Slow,B&W,,,,,,,,,
Blade Runner,8.2,Thriller,Atmospheric,Gloomy,Stylized,Captivating,Rough,Suspenseful,Thought_Provoking,Contemplative,A.I.,androids_and_robots,fugitives,investigation,human_nature,future_dystopia,technology_gone_awry,Chases_and_races,Life_is_a_bitch,Crimes,Mind_and_soul,Society,lone_wolves,Imaginary,Chaos,SCI-FI,THRILLER,Future,Los_Angeles,USA,award_winner,critically_acclaimed,Essential,masterpiece,Modern_classic,Prestigious_Awards,Futuristic,Neo_noir,Voice_over,Postmodernism,based_on_book,Serious,Fantastic,Violent_Content,,,,,,,,
The Princess Bride,8.2,Comedy,Feel_Good,Humorous,Witty,Exciting,Offbeat,Touching,friendship,true_love,heroic_mission,imaginary_kingdom,Danger,Heroes,Imaginary,Love_and_romance,Friends,ADVENTURE,FANTASY,FAMILY,COMEDY,ROMANCE,award_winner,critically_acclaimed,cult,Modern_classic,Verbal_byplay,Fairytale,based_on_book,Not_Serious,Fantastic,Mild_Violent_Content,,,,,,,,,,,,,,,,,,,,
The Thing,8.2,Thriller,Suspenseful,Scary,Tense,deadly_creature,survival,alien_encounter,Confined,Danger,Deadly,Escapades,Mind_and_soul,Space_and_aliens,Supernatural,isolation,HORROR,SCI-FI,THRILLER,20th_century,80s,Antarctica,critically_acclaimed,Modern_classic,gory,based_on_short_story,remake,Serious,Fantastic,Special_effects,Strong_Violent_Content,,,,,,,,,,,,,,,,,,,,,
Platoon,8.2,Drama,Bleak,Rough,Captivating,Disturbing,Thought_Provoking,soldier,innocence_lost,anti_war,chaos_and_mayhem,military_life,Battles,Military,Mind_and_soul,Chaos,DRAMA,WAR,20th_century,Vietnam_War,Asia,Vietnam,Battle_Zone,Jungle,award_winner,blockbuster,critically_acclaimed,Essential,oscar_winner,Modern_classic,Prestigious_Awards,Voice_over,gory,Hollywood_Tone,Serious,Realistic,Profanity,Strong_Violent_Content,,,,,,,,,,,,,,
Stand By Me,8.1,Drama,Sentimental,Touching,Bittersweet,buddies,innocence_lost,friendship,coming_of_age,Youth,Friends,juvenile_delinquency,young_heroes,Escapades,Mind_and_soul,Family_relations,DRAMA,ADVENTURE,PERIOD,20th_century,50s,Oregon,USA,camp,Small_town,award_winner,critically_acclaimed,cult,Essential,Modern_classic,Voice_over,Hollywood_Tone,based_on_short_story,Serious,Realistic,Slow,Mild_Violent_Content,Profanity,,,,,,,,,,,,,,
The Elm chanted forest,8.1,Action,Humorous,Stylized,Feel_Good,Exciting,superhuman_powers,underdog,heroic_mission,Danger,Escapades,Heroes,Imaginary,Rivalry,artist's_life,good_versus_evil,Youth,Supernatural,Friends,ADVENTURE,ANIMATION,FANTASY,foreign,FAMILY,COMEDY,MUSICAL,Battle_Zone,Desert,in_the_woods,Semi_Serious,Fantastic,Show_Tunes,,,,,,,,,,,,,,,,,,,,
Paris Texas,8.1,Drama,Offbeat,Contemplative,Atmospheric,Gloomy,Touching,self_discovery,Mind_and_soul,parents_and_children,memory_loss,reunion,Estrangement,psychological,Hopes,Family_relations,DRAMA,20th_century,80s,Los_Angeles,Texas,USA,award_winner,critically_acclaimed,Cannes_festival_winner,Prestigious_Awards,On_the_Road,surreal,Serious,Realistic,Slow,,,,,,,,,,,,,,,,,,,,,
A Christmas Story,8.1,Comedy,Feel_Good,Humorous,Sentimental,Touching,parents_and_children,family_life,Love_and_romance,Mind_and_soul,Society,Youth,Couples,Family_relations,Disorder,mischievous_children,obsession,couple_relations,siblings_relations,Eccentric_Family,americana,COMEDY,FAMILY,20th_century,40s,Indiana,USA,Small_town,award_winner,critically_acclaimed,based_on_book,Semi_Serious,Realistic,,,,,,,,,,,,,,,,,,,
The Terminator,8.1,Action,Bleak,Rough,Exciting,Suspenseful,androids_and_robots,man_versus_machine,manhunt,on_the_run,future_dystopia,technology_gone_awry,Chases_and_races,Danger,Deadly,Heroes,Rivalry,save_the_world,destiny,woman_in_danger,Life_is_a_bitch,Imaginary,Society,Chaos,ACTION,SCI-FI,20th_century,80s,Los_Angeles,USA,blockbuster,critically_acclaimed,masterpiece,Modern_classic,Voice_over,Hollywood_Tone,Serious,Fantastic,Special_effects,Brief_Nudity,Profanity,Violent_Content,,,,,,,,,,
This is Spinal Tap,8,Comedy,Humorous,Witty,Cynical,Clever,Offbeat,music_band,musician's_life,showbiz,Artists_and_showbiz,Friends,Way_of_Life,Partners,Disorder,nothing_goes_right,buddies,celebrity_culture,COMEDY,independent,MUSIC,Mockumentary,20th_century,80s,award_winner,critically_acclaimed,cult,Original,Satire,Irreverent_humor,Dry_Humor,Not_Serious,Realistic,Heavy_metal,Rock,Profanity,,,,,,,,,,,,,,,,
Crimes and Misdemeanors,8,Comedy,Clever,Witty,Contemplative,Gloomy,Humorous,Thought_Provoking,Sincere,Cynical,moral_dilemma,Crimes,Dishonesty,Mind_and_soul,human_nature,introspection,couple_relations,infidelity,murder,psychological,Couples,DRAMA,independent,COMEDY,CRIME,20th_century,80s,New_York,Urban,USA,award_winner,critically_acclaimed,Talky,Semi_Serious,Realistic,Slow,,,,,,,,,,,,,,,,
Rain Man,8,Drama,Feel_Good,Captivating,Uplifting,Bittersweet,Touching,Emotional,Sentimental,Sincere,mentally_challenged,redemption,siblings_relations,Hopes,Mind_and_soul,Misfit,Family_relations,self_discovery,Estrangement,fish_out_of_water,Disorder,DRAMA,20th_century,80s,award_winner,blockbuster,critically_acclaimed,oscar_winner,Modern_classic,Berlin_festival_winner,Prestigious_Awards,On_the_Road,Melodrama,Serious,Realistic,Profanity,Sexual_Content,,,,,,,,,,,,,,,
Dances with Wolves,8,Drama,Emotional,Captivating,Sincere,Touching,Atmospheric,Exciting,Bittersweet,Sentimental,redemption,self_discovery,interracial_relations,culture_clash,Injustice,Hopes,Mind_and_soul,Society,Friends,friendship,Way_of_Life,ADVENTURE,DRAMA,PERIOD,WESTERN,HISTORICAL,19th_century,American_Civil_War,USA,award_winner,blockbuster,critically_acclaimed,oscar_winner,Modern_classic,Prestigious_Awards,Hollywood_Tone,based_on_book,Serious,Realistic,Orchestral,Mild_Violent_Content,Nudity,Profanity,,,,,,,,,
The Ballad of Gregorio Cortez,8,Comedy,Rough,Suspenseful,Captivating,interracial_relations,Chases_and_races,Life_is_a_bitch,Crimes,Dishonesty,Legal,Society,folk_hero,fugitives,mentally_unstable,journalism,manhunt,on_the_run,opposites_attract,courtroom_drama,false_accusation,mistaken_identity,murder,racism,Injustice,Deadly,Heroes,Law_enforcement,Mind_and_soul,Rivalry,PERIOD,DRAMA,1900s,Texas,USA,Epic,based_on_true_story,Serious,Realistic,,,,,,,,,,,,,
Dead Poets Society,8,Drama,Sentimental,Touching,Captivating,Uplifting,Bittersweet,Contemplative,Sincere,Emotional,dedicated_educator,teachers_and_students,boarding_school_life,coming_of_age,Youth,Power_relations,against_the_rules,follow_your_dream,human_spirit,idealism,teaching_the_ways_of_the_world,Hopes,Way_of_Life,Society,DRAMA,PERIOD,20th_century,50s,New_England,USA,Vermont,Boarding_School,award_winner,blockbuster,critically_acclaimed,oscar_winner,Prestigious_Awards,Ensemble_cast,Talky,Serious,Realistic,,,,,,,,,,,
Edward Scissorhands,8,Drama,Atmospheric,Gloomy,Offbeat,Bittersweet,Sentimental,Touching,social_misfits,tragic_hero,human_nature,impossible_love,suburban_life,Injustice,fish_out_of_water,Love_and_romance,Misfit,anti_heroes,parents_and_children,teaching_the_ways_of_the_world,fall_in_love,Society,Unfulfillment,Family_relations,Disorder,ROMANCE,FANTASY,20th_century,50s,Suburbs,award_winner,critically_acclaimed,Original,Modern_classic,Fairytale,surreal,Gothic,Semi_Serious,Semi_fantastic,Slow,Profanity,Violent_Content,,,,,,,,,,
Hannah and her sisters,8,Comedy,Clever,Witty,Humorous,Captivating,Bittersweet,Sentimental,Sincere,human_nature,siblings_relations,Love_and_romance,Mind_and_soul,Unfulfillment,Couples,Family_problems,Family_relations,crumbling_marriage,introspection,couple_relations,infidelity,looking_for_love,Artists_and_showbiz,Dishonesty,COMEDY,DRAMA,ROMANCE,20th_century,80s,New_York,Urban,USA,award_winner,critically_acclaimed,Essential,oscar_winner,Golden_globe_winner,Prestigious_Awards,Ensemble_cast,Episodic,Talky,Semi_Serious,Realistic,Slow,,,,,,,,
The untouchables,8,Thriller,Rough,Captivating,Stylized,Suspenseful,partners_against_crime,fighting_crime,idealism,Police_Detective,Crimes,Law_enforcement,Rivalry,Society,criminal's_revenge,gangsters,special_agents,tough_law_enforcer,obsessive_quest,uninhibited_rivalry,Police_Investigation,Escapades,Partners,CRIME,THRILLER,ACTION,PERIOD,HISTORICAL,20s,20th_century,Chicago,Urban,USA,award_winner,blockbuster,critically_acclaimed,Modern_classic,oscar_winner,Prestigious_Awards,All_star_cast,Epic,Hollywood_Tone,based_on_book,based_on_TV_series,based_on_true_story,Serious,Realistic,Orchestral,Violent_Content,,,
Love Streams,8,Drama,Emotional,Tense,writer's_life,couple_relations,siblings_relations,Mind_and_soul,Unfulfillment,Couples,Family_problems,Family_relations,prostitute,social_misfits,redemption,custody,psychological,Hopes,Love_and_romance,DRAMA,80s,critically_acclaimed,Berlin_festival_winner,Prestigious_Awards,Melodrama,based_on_play,Serious,Realistic,,,,,,,,,,,,,,,,,,,,,,,,
Kagemusha,8,Drama,Stylized,Captivating,Atmospheric,Clever,Mind_and_soul,samurai,switching_roles,mistaken_identity,Battles,Dishonesty,Heroes,Military,State_affairs,Disorder,DRAMA,PERIOD,foreign,ACTION,WAR,HISTORICAL,16th_century,Asia,Japan,award_winner,critically_acclaimed,Cannes_festival_winner,Prestigious_Awards,Epic,Serious,Realistic,Slow,Violent_Content,,,,,,,,,,,,,,,,,,
The Blues Brothers,8,Action,Humorous,Exciting,Offbeat,Witty,nothing_goes_right,chase,obsessive_quest,race_against_time,siblings_relations,chaos_and_mayhem,car_chase,Artists_and_showbiz,Chases_and_races,Escapades,Chaos,Disorder,criminal_heroes,music_band,Friends,Crimes,Family_relations,COMEDY,MUSIC,MUSICAL,20th_century,80s,Chicago,Urban,USA,blockbuster,Classic,critically_acclaimed,Not_Serious,Realistic,Fast,Soul,Blues,R&B,Violent_Content,,,,,,,,,,,
Glory,8,Drama,Rough,Captivating,Sincere,Bleak,Thought_Provoking,interracial_relations,heroic_mission,military_life,Injustice,Heroes,Hopes,Military,Rivalry,Society,leadership,human_spirit,racism,Battles,HISTORICAL,WAR,PERIOD,19th_century,American_Civil_War,Massachusetts,USA,Battle_Zone,award_winner,critically_acclaimed,oscar_winner,Prestigious_Awards,Epic,based_on_book,based_on_true_story,Serious,Realistic,Violent_Content,,,,,,,,,,,,,,
The breakfast Club,8,Comedy,Clever,Sincere,Humorous,innocence_lost,introspection,rebelliousness,friendship,teenage_love,adolescence_vs_adulthood,high_school_life,teenage_life,coming_of_age,Hopes,Way_of_Life,Love_and_romance,Mind_and_soul,Rebellion,Youth,Friends,teachers_and_students,Misfit,Power_relations,DRAMA,20th_century,80s,High_school,critically_acclaimed,Essential,Modern_classic,All_star_cast,Ensemble_cast,Talky,Semi_Serious,Realistic,Pop,,,,,,,,,,,,,,,
