Name, AROI, CPROI, MYROI
A Few Good Men, 1.355669633 , 1.236137225 , 1.372097729404 , 33000000
American Pie, 3.665876783 , 2.222148209 , 1.38509498089 , 12000000
Blade Runner, -0.358536414 , -0.640560725 , -0.323323752223 , 28000000
The Deer Hunter, 0.833333333 , 0.874469118 , 0.938276607774 , 15000000
Demolition Man, -0.439812765 , -0.836018986 , -0.437106096566 , 57000000
Drop Dead Gorgeous, -0.41857256 , -0.782328935 , -0.476661707187 , 10000000
8mm, -0.498902673 , -0.996837251 , -0.52870248018 , 40000000
Excalibur, 0.71 , 0.773996325 , 0.69678047555 , 11000000
Frozen River, 0.3813118 , 0.466039012 , 0.459643891863 , 1000000
Gran Torino, 2.258096644 , 1.704029399 , 2.501242131546 , 25000000
The Haunting, -0.373076278 , -0.673638175 , -0.359142296278 , 80000000
Heat, -0.381829168 , -0.693922513 , -0.0435606616676 , 60000000
The hitchhikers Guide to the Galaxy, -0.376433076 , -0.681383689 , -0.266774050652 , 45000000
The Island, -0.835829982 , -2.606737421 , -0.38796389153 , 120000000
IStill Know What You Did Last Summer, -0.082860746 , -0.124787292 , -0.101318739113 , 24000000
Kalifornia, -0.845014465 , -2.689794519 , -1.522107188915 , 8500000
Knocked Up, 1.9752353 , 1.57300377 , 1.648568541625 , 27500000
Lake Placid, -0.35282492 , -0.627772039 , -0.401463432403 , 27000000
The Last Samurai, -0.56349417 , -1.195927171 , -0.153935040225 , 140000000
Leaving Las Vegas, 3.397769338 , 2.136771937 , 0.414131037454 , 4000000
Liar Liar, 1.21724085 , 1.148765493 , 0.0437178170935 , 45000000
Living in Oblivion, 0.222969 , 0.290387835 , 0.151160773834 , 500000
Lone Star, 0.42575279 , 0.511723856 , -0.213610552121 , 5000000
The Lord of the Rings The Return of the King, 1.210800508 , 1.144568849 , 1.274335763903 , 94000000
Men in Black, 0.531997738 , 0.615414167 , -0.199252367044 , 90000000
Mighty Joe Young, -0.651904746 , -1.522445949 , -0.58450296555 , 80000000
Mimic, -0.532857683 , -1.098065956 , 0.358418935534 , 30000000
Minority Report, -0.288102032 , -0.490257612 , -0.2151623428131 , 102000000
Ordinary People, 3.79443965 , 2.26136221 , 3.2386384487 , 6000000
Outbreak, -0.253940697 , -0.422637782 , 0.166071759556 , 50000000
Sister Act, 1.476865565 , 1.308515566 , 1.552670327382 , 31000000
Sling Blade, 1.784974129 , 1.477663926 , -0.00668224058854 , 4833610
Solaris, -0.824818704 , -2.513079349 , 0.553545371076 , 47000000
Supergirl, -0.775341689 , -2.154195658 , -0.98653302492 , 35000000
The Bodyguard, 1.68280584 , 1.423742648 , 0.72381778154 , 25000000
Tin Cup, -0.341777258 , -0.603352221 , -0.300731776876 , 45000000
