Spirited Away	['Atmospheric', 'Offbeat', 'Stylized', 'Exciting', 'young_heroes', 'rescue', 'curses_spells_and_rituals', 'Escapades', 'Imaginary', 'Supernatural', 'Youth', 'ghost', 'ADVENTURE', 'ANIMATION', 'FAMILY', 'FANTASY', 'foreign', 'Anime', 'contemporary', '21st_century', 'Asia', 'Japan', 'Theme_Park', 'Family_outing', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Berlin_festival_winner', 'Prestigious_Awards', 'surreal', 'Serious', 'Fantastic']
Platoon	['Bleak', 'Disturbing', 'Rough', 'Captivating', 'Thought_Provoking', 'soldier', 'innocence_lost', 'anti_war', 'chaos_and_mayhem', 'military_life', 'Battles', 'Military', 'Mind_and_soul', 'DRAMA', 'WAR', 'Hollywood_Tone', '20th_century', 'Vietnam_War', 'Asia', 'Vietnam', 'Battle_Zone', 'Jungle', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'Voice_over', 'gory', 'Serious', 'Realistic', 'Profanity', 'Strong_Violent_Content']
Amores Perros	['Bleak', 'Rough', 'Suspenseful', 'Captivating', 'Tense', 'Atmospheric', 'forbidden_love', 'siblings_relations', 'urban_ghetto_life', 'Danger', 'Life_is_a_bitch', 'Mind_and_soul', 'Society', 'Family_relations', 'DRAMA', 'foreign', 'contemporary', '21st_century', 'Mexico', 'Latin_America', 'Urban_Ghetto', 'award_winner', 'critically_acclaimed', 'Ensemble_cast', 'Episodic', 'Multiple_stories', 'Nonlinear', 'Serious', 'Realistic', 'Sexual_Content', 'Violent_Content']
All Quiet on the Western Front	['Bleak', 'Emotional', 'Gloomy', 'buddies', 'soldier', 'coming_of_age', 'innocence_lost', 'friendship', 'anti_war', 'military_life', 'wartime_life', 'DRAMA', 'HISTORICAL', 'WAR', 'Hollywood_Tone', 'World_War_1', 'Europe', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'Original', 'oscar_winner', 'based_on_book', 'Serious', 'Realistic', 'Slow']
The Great Escape	['Suspenseful', 'Exciting', 'soldier', 'breakout', 'captivity', 'heroic_mission', 'Confined', 'Danger', 'Escapades', 'Heroes', 'WAR', 'Hollywood_Tone', 'HISTORICAL', 'PERIOD', '20th_century', '40s', 'World_War_2', 'Europe', 'Germany', 'Prison', 'Classic', 'critically_acclaimed', 'Essential', 'All_star_cast', 'Ensemble_cast', 'based_on_book', 'based_on_true_story', 'Serious', 'Realistic', 'Orchestral']
Life of Pi	['Bleak', 'Contemplative', 'Tense', 'young_heroes', 'coming_of_age', 'survival', 'Youth', 'starting_over', 'human_nature', 'parents_and_children', 'isolation', 'ADVENTURE', 'DRAMA', 'Ship', 'Ocean_or_Sea', 'based_on_book', 'Serious', 'Realistic', '3D']
Hotel Rwanda	['Emotional', 'Rough', 'Sincere', 'Bleak', 'Contemplative', 'Thought_Provoking', 'good_versus_evil', 'anti_war', 'genocide', 'Righting_the_Wronged', 'Against_humanity', 'Escapades', 'Hopes', 'Society', 'DRAMA', 'HISTORICAL', 'PERIOD', 'WAR', 'independent', '20th_century', '90s', 'Africa', 'Rwanda', 'award_winner', 'critically_acclaimed', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Slow']
Stand by Me	['Sentimental', 'Touching', 'Bittersweet', 'buddies', 'coming_of_age', 'innocence_lost', 'friendship', 'Youth', 'Friends', 'juvenile_delinquency', 'young_heroes', 'DRAMA', 'Hollywood_Tone', 'ADVENTURE', 'PERIOD', '20th_century', '50s', 'Oregon', 'USA', 'Small_town', 'camp', 'Teens', 'Family_outing', 'award_winner', 'critically_acclaimed', 'cult', 'Essential', 'Modern_classic', 'Voice_over', 'based_on_short_story', 'Serious', 'Realistic', 'Slow', 'Mild_Violent_Content', 'Profanity']
The Diving Bell and the Butterfly	['Gloomy', 'Sincere', 'Touching', 'Atmospheric', 'Emotional', 'Witty', 'human_spirit', 'introspection', 'life_turned_upside_down', 'Disability', 'Hopes', 'Life_is_a_bitch', 'Mind_and_soul', 'mute_or_deaf', 'DRAMA', 'foreign', 'Melodrama', '20th_century', '90s', 'Europe', 'France', 'award_winner', 'critically_acclaimed', 'Golden_globe_winner', 'Prestigious_Awards', 'Voice_over', 'based_on_book', 'based_on_true_story', 'Serious', 'Realistic', 'Slow', 'Brief_Nudity', 'Profanity']
Lawrence of Arabia	['Exciting', 'Captivating', 'Stylized', 'soldier', 'leadership', 'politics', 'human_spirit', 'idealism', 'heroic_mission', 'military_life', 'political_unrest', 'ACTION', 'ADVENTURE', 'DRAMA', 'HISTORICAL', 'PERIOD', 'WAR', 'Hollywood_Tone', '1910s', '20s', '20th_century', '30s', 'World_War_1', 'Africa', 'Middle_East', 'Desert', 'Mountains', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'Epic', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Orchestral', 'Violent_Content']
Once Upon a Time in the West	['Atmospheric', 'Stylized', 'Suspenseful', 'Captivating', 'Emotional', 'Tense', 'mysterious_character', 'vengeance', 'haunted_by_the_past', 'Danger', 'Heroes', 'Mind_and_soul', 'Rivalry', 'lone_wolves', 'WESTERN', 'Spaghetti_Western', 'ACTION', 'DRAMA', '19th_century', 'Old_west', 'USA', 'Small_town', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'Ensemble_cast', 'Epic', 'Serious', 'Realistic', 'Orchestral', 'Violent_Content']
