Name, AROI, CROI, MYROI
New York Minute,-0.807247495,-2.375178485,-0.115081777753
Magnolia,-0.666269291,-1.583243647,-0.283384876171
Final Destination 2,-0.006589704,-0.009538395,-0.42225128407
Heat,-0.381829168,-0.693922513,0.118775137308
Legally Blonde,1.949242817,1.560344607,0.891190284996
Insomnia,-0.194662345,-0.312334303,1.29016140944
The Shawshank Redemption,-0.376487682,-0.681510033,-0.301589372568
Men in Black,0.531997738,0.615414167,-0.234894924597
Outbreak,-0.253940697,-0.422637782,0.257785539781
The Pacifier,0.109889,0.1504154,-0.122311514072
Tin Cup,-0.341777258,-0.603352221,-0.0879015800779
The Haunting,-0.373076278,-0.673638175,1.01573129956
Tomorrow Never Dies,-0.37347862,-0.674564353,-0.256096217853
Day of the Dead,-0.087901686,-0.132738755,0.150743463482
Game 6,-0.9286848,-3.809646587,0.71865182641
The Deer Hunter,0.833333333,0.874469118,0.026046837273
The Bodyguard,1.68280584,1.423742648,1.01868843571
The Bourne Identity,0.115232094,0.157343985,0.592243880653
Monkeybone,-0.960330209,-4.655815381,-0.228543283253
Excalibur,0.71,0.773996325,0.218090680105
The Pianist,-0.488982083,-0.96855422,0.0334081950787
Devil in a Blue Dress,-0.671205478,-1.604741831,0.0998115957476
Hotel Rwanda,-0.26045768,-0.435295388,0.91610400719
Little Nicky,-0.728830262,-1.882731909,-0.128268663925
Gran Torino,0.9765884,1.704029399,0.771115093899
Independence Day,1.245241203,1.16687044,0.191188500216
IStill Know What You Did Last Summer,-0.082860746,-0.124787292,-0.318169365327
The Island,-0.835829982,-2.606737421,-0.25529897637
Ordinary People,0.9985775,2.26136221,0.348354276514
Kalifornia,-0.845014465,-2.689794519,-0.297083042528
Rambling Rose,-0.540447793,-1.121699329,-0.125170885102
American Pie,0.90846647,2.222148209,0.885348098504
Groundhog Day,1.671153092,1.417462664,0.246442438842
The Insider,-0.765722671,-2.093710745,-0.0925915975219
Bruce Almighty,0.648840661,0.721451988,0.178795877238
Brazil,-0.635931717,-1.457719032,-0.0245508969087
