Name, AROI, CROI, MYROI
A Few Good Men,1.355669633,1.236137225,0.367835095537
American Pie,3.665876783,2.222148209,1.93077202444
Blade Runner,-0.358536414,-0.640560725,-0.418790016387
The Deer Hunter,0.833333333,0.874469118,-0.177420035662
Demolition Man,-0.439812765,-0.836018986,0.570866547049
Drop Dead Gorgeous,-0.41857256,-0.782328935,-0.256582311288
8mm,-0.498902673,-0.996837251,-0.199778444201
Excalibur,0.71,0.773996325,-0.468843735774
Frozen River,0.3813118,0.466039012,-0.398647577177
Gran Torino,2.258096644,1.704029399,0.696301857123
The Haunting,-0.373076278,-0.673638175,0.434877043116
Heat,-0.381829168,-0.693922513,-0.0996939431445
The hitchhikers Guide to the Galaxy,-0.376433076,-0.681383689,0.590271234775
The Island,-0.835829982,-2.606737421,-0.545338287275
IStill Know What You Did Last Summer,-0.082860746,-0.124787292,-0.42702531012
Kalifornia,-0.845014465,-2.689794519,-0.27274114969
Knocked Up,1.9752353,1.57300377,-0.118998226096
Lake Placid,-0.35282492,-0.627772039,-0.146745824555
The Last Samurai,-0.56349417,-1.195927171,-0.533180018916
Leaving Las Vegas,3.397769338,2.136771937,0.460124598071
Liar Liar,1.21724085,1.148765493,0.19761124246
Living in Oblivion,0.222969,0.290387835,0.117096095745
Lone Star,0.42575279,0.511723856,-0.476219825739
The Lord of the Rings The Return of the King,1.210800508,1.144568849,0.517948742384
Men in Black,0.531997738,0.615414167,-0.265183791351
Mighty Joe Young,-0.651904746,-1.522445949,-0.45522943531
Mimic,-0.532857683,-1.098065956,0.730241703714
Minority Report,-0.288102032,-0.490257612,0.258674966783
Ordinary People,3.79443965,2.26136221,1.00207942096
Outbreak,-0.253940697,-0.422637782,0.29958140987
Sister Act,1.476865565,1.308515566,0.236957190964
Sling Blade,1.784974129,1.477663926,0.121399795312
Solaris,-0.824818704,-2.513079349,0.314847699478
Supergirl,-0.775341689,-2.154195658,-0.495823091222
The Bodyguard,1.68280584,1.423742648,0.692250144454
Tin Cup,-0.341777258,-0.603352221,-0.10936990373
