Name, AROI, CROI, MYROI
A Few Good Men,1.355669633,1.236137225,0.616381593068
American Pie,3.665876783,2.222148209,1.22040945779
Blade Runner,-0.358536414,-0.640560725,-0.488111041744
The Deer Hunter,0.833333333,0.874469118,-0.0524102951971
Demolition Man,-0.439812765,-0.836018986,0.731772787778
Drop Dead Gorgeous,-0.41857256,-0.782328935,-0.134220752497
8mm,-0.498902673,-0.996837251,0.0717016414451
Excalibur,0.71,0.773996325,-0.472360293201
Frozen River,0.3813118,0.466039012,-0.214028641053
Gran Torino,2.258096644,1.704029399,1.09717352051
The Haunting,-0.373076278,-0.673638175,0.538185237946
Heat,-0.381829168,-0.693922513,0.142536905759
The hitchhikers Guide to the Galaxy,-0.376433076,-0.681383689,0.591374948018
The Island,-0.835829982,-2.606737421,-0.312110417172
IStill Know What You Did Last Summer,-0.082860746,-0.124787292,-0.353139149122
Kalifornia,-0.845014465,-2.689794519,-0.256391280293
Knocked Up,1.9752353,1.57300377,0.418300270219
Lake Placid,-0.35282492,-0.627772039,0.118223278047
The Last Samurai,-0.56349417,-1.195927171,-0.484697385778
Leaving Las Vegas,3.397769338,2.136771937,0.655516585236
Liar Liar,1.21724085,1.148765493,0.458727410135
Living in Oblivion,0.222969,0.290387835,0.585176658762
Lone Star,0.42575279,0.511723856,-0.497857256935
The Lord of the Rings The Return of the King,1.210800508,1.144568849,0.552193205234
Men in Black,0.531997738,0.615414167,-0.193796569741
Mighty Joe Young,-0.651904746,-1.522445949,-0.452501596234
Mimic,-0.532857683,-1.098065956,0.42408201141
Minority Report,-0.288102032,-0.490257612,0.174872241699
Ordinary People,3.79443965,2.26136221,1.1387990879
Outbreak,-0.253940697,-0.422637782,0.361848992715
Sister Act,1.476865565,1.308515566,0.831916872277
Sling Blade,1.784974129,1.477663926,0.150089857031
Solaris,-0.824818704,-2.513079349,0.398809465697
Supergirl,-0.775341689,-2.154195658,-0.361710996299
The Bodyguard,1.68280584,1.423742648,0.656764132523
Tin Cup,-0.341777258,-0.603352221,-0.045543319917
