Name, AROI, CROI, MYROI
A Few Good Men,1.355669633,1.236137225,0.602502526019
American Pie,3.665876783,2.222148209,1.6149304007
Blade Runner,-0.358536414,-0.640560725,-0.273960498944
The Deer Hunter,0.833333333,0.874469118,-0.0720178749663
Demolition Man,-0.439812765,-0.836018986,0.622606223671
Drop Dead Gorgeous,-0.41857256,-0.782328935,-0.193062331142
8mm,-0.498902673,-0.996837251,-0.104422961251
Excalibur,0.71,0.773996325,-0.280014814852
Frozen River,0.3813118,0.466039012,-0.333993413793
Gran Torino,2.258096644,1.704029399,0.838933047764
The Haunting,-0.373076278,-0.673638175,0.278355209417
Heat,-0.381829168,-0.693922513,-0.257702813306
The hitchhikers Guide to the Galaxy,-0.376433076,-0.681383689,0.649622454878
The Island,-0.835829982,-2.606737421,-0.256420674528
IStill Know What You Did Last Summer,-0.082860746,-0.124787292,-0.312454211393
Kalifornia,-0.845014465,-2.689794519,-0.114969402881
Knocked Up,1.9752353,1.57300377,0.584530159734
Lake Placid,-0.35282492,-0.627772039,-0.151975071916
The Last Samurai,-0.56349417,-1.195927171,-0.444404606453
Leaving Las Vegas,3.397769338,2.136771937,0.864576726217
Liar Liar,1.21724085,1.148765493,0.542334287563
Living in Oblivion,0.222969,0.290387835,0.148334735153
Lone Star,0.42575279,0.511723856,-0.283719756311
The Lord of the Rings The Return of the King,1.210800508,1.144568849,0.526698870322
Men in Black,0.531997738,0.615414167,-0.0819970161819
Mighty Joe Young,-0.651904746,-1.522445949,-0.386201269939
Mimic,-0.532857683,-1.098065956,0.560924866297
Minority Report,-0.288102032,-0.490257612,0.219916302848
Ordinary People,3.79443965,2.26136221,0.733172568071
Outbreak,-0.253940697,-0.422637782,0.494068771201
Sister Act,1.476865565,1.308515566,0.560686623654
Sling Blade,1.784974129,1.477663926,0.045105583895
Solaris,-0.824818704,-2.513079349,0.401056860489
Supergirl,-0.775341689,-2.154195658,-0.447251981699
The Bodyguard,1.68280584,1.423742648,0.497568171979
Tin Cup,-0.341777258,-0.603352221,0.0450659694742
